"","X.zip.","X.ems.","lon","lat"
"329","10468","P.S. 086 Kingsbridge Heights",-73.8982631,40.8698472
"330","10453","P.S. 091 Bronx",-73.9079233,40.8576357
"331","10467","P.S. 094 Kings College School",-73.8754552,40.8804318
"332","10463","P.S. 095 Sheila Mencher",-73.8914763,40.8830979
"333","10457","J.H.S. 118 William W. Niles",-73.8928447,40.8484479
"334","10463","Riverdale / Kingsbridge Academy (Middle School / H",-73.913565,40.8882097
"335","10458","P.S. 159 Luis Munoz Marin Biling",-73.8932821,40.8555172
"336","10458","P.S. 205 Fiorello LaGuardia",-73.8813809,40.8557124
"337","10468","I.S. 206 Ann Mersereau",-73.9062792,40.8595902
"338","10457","Theatre Arts Production Company School",-73.8970362,40.8546548
"339","11204","P.S. 226",-73.9770226,40.6152494
"340","10458","Jonas Bronck Academy",-73.8918856,40.8609745
"341","10458","West Bronx Academy for the Future",-73.8885964,40.8595423
"342","10463","The New School for Leadership and Journalism",-73.9014543,40.8755482
"343","10468","P.S. 246 Poe Center",-73.8953807,40.866137
"344","10458","I.S. 254",-73.8898414,40.858858
"345","10453","P.S. 279 Captain Manuel Rivera, Jr.",-73.9050639,40.8547343
"346","10467","P.S./M.S. 280 Mosholu Parkway",-73.8816719,40.8770603
"347","10453","P.S. 291",-73.9098193,40.8591662
"348","10453","P.S. 306",-73.9103828,40.8517818
"349","10468","Luisa Pineiro Fuentes School of Science and Discov",-73.9018757,40.8691591
"350","10467","Bronx Dance Academy School",-73.8781134,40.8854128
"351","10463","P.S. 310 Marble Hill",-73.9052778,40.8725135
"352","10468","P.S. 315 Lab School",-73.8998724,40.8736003
"353","10453","The Bronx School of Young Leaders",-73.9107122,40.8513486
"354","10011","P.S. 340",-73.9952936,40.739006
"355","10468","International School for Liberal Arts",-73.8969425,40.8704419
"356","10463","Ampark Neighborhood",-73.8914763,40.8830979
"357","10463","P.S. 360",-73.9023203,40.8749598
"358","10468","Academy For Personal Leadership And Excellence",-73.9004334,40.8593875
"359","10463","In-Tech Academy (M.S. / High School 368)",-73.911364,40.8790734
"360","10453","Elementary School for Math, Science, and Technolog",-73.9032436,40.8551953
"361","10453","School for Environmental Citizenship",-73.9033703,40.8550546
"362","10453","M.S. 390",-73.9131643,40.8545659
"363","10457","The Angelo Patri Middle School",-73.8970362,40.8546548
"364","10453","P.S. 396",-73.913069,40.8545398
"365","10453","Creston Academy",-73.9032919,40.8550898
"366","10468","East Fordham Academy for the Arts",-73.9005168,40.8596296
"367","10470","P.S. 016 Wakefield",-73.8545464,40.9023697
"368","10470","P.S. 019 Judith K. Weiss",-73.8672232,40.8993214
"369","10466","P.S. 021 Philip H. Sheridan",-73.85948,40.8878973
"370","10467","P.S. 041 Gun Hill Road",-73.8679103,40.8746073
"371","10466","P.S. 068 Bronx",-73.8385612,40.8911953
"372","10469","P.S. 076 The Bennington School",-73.8610735,40.8692718
"373","10469","P.S. 078 Anne Hutchinson",-73.8503867,40.8784474
"374","10462","P.S. 083 Donald Hertz",-73.8588599,40.8492444
"375","10466","P.S. 087 Bronx",-73.8458816,40.8953644
"376","10469","P.S. 089 Bronx",-73.8591383,40.8625617
"377","10467","P.S. 096 Richard Rodgers",-73.8690837,40.860985
"378","10469","P.S. 097 Bronx",-73.8466572,40.8630716
"379","10466","P.S. 103 Hector Fontanez",-73.8618979,40.8923187
"380","10462","P.S. 105 Sen Abraham Bernstein",-73.8664014,40.8527674
"381","10462","P.S. 106 Parkchester",-73.8550466,40.8373275
"382","10461","P.S. 108 Philip J. Abinanti",-73.8529191,40.8545351
"383","10466","P.S. 111 Seton Falls",-73.839263,40.884355
"384","10466","P.S. 112 Bronxwood",-73.8439954,40.8847919
"385","10469","P.S. 121 Throop",-73.8504668,40.8669435
"386","10462","J.H.S. 127 The Castle Hill",-73.8531107,40.8380724
"387","10469","J.H.S. 144 Michelangelo",-73.8362749,40.8642899
"388","10475","P.S. 153 Helen Keller",-73.8331355,40.8731144
"389","10475","P.S. 160 Walt Disney",-73.8239864,40.8643078
"390","10466","Baychester Academy",-73.8393793,40.8812602
"391","10464","P.S. 175 City Island",-73.7846911,40.84379
"392","10475","P.S. 178 - Dr. Selman Waksman",-73.8331698,40.8751334
"393","10475","M.S. 180 Dr. Daniel Hale Williams",-73.8321785,40.8732041
"394","10475","I.S. 181 Pablo Casals",-73.8321783,40.874988
"395","10475","Cornerstone Academy for Social Action",-73.8307528,40.8829987
"396","10462","P.S./M.S. 194",-73.8465928,40.8351995
"397","10467","North Bronx School of Empowerment",-73.8605855,40.8808122
"398","10467","Bronx Green Middle School",-73.8647866,40.8624415
"399","10466","Bronx Alliance Middle School",-73.8405699,40.8863025
"400","10462","Young Voices Academy of the Bronx",-73.8634638,40.8543019
"401","74112","Leaders of Tomorrow",-95.9041535,36.1569025
"402","10475","Cornerstone Academy for Social Action Middle Schoo",-73.8307528,40.8829987
"403","10467","Pelham Academy of Academics and Community Engageme",-73.8645884,40.8620602
"404","10462","P.S./M.S. 11X498 - VAN NEST ACADEMY",-73.8579016,40.8449979
"405","10466","One World Middle School at Edenwald",-73.8405649,40.8864787
"406","10466","Baychester Middle School",-73.840497,40.8861085
"407","10467","Bronx Park Middle School",-73.8647626,40.8625741
